pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
6.6,35,1,0,1,0,254,high
6.6,36,0,1,0,1,253,high
8.5,70,1,1,1,1,246,low
9.5,34,1,1,0,1,255,low
6.6,37,0,0,0,0,255,medium
6.6,37,1,1,1,1,255,high
5.5,45,1,0,1,1,250,low
4.5,60,0,1,1,1,250,low
8.1,66,1,0,1,1,255,low
6.7,45,1,1,0,0,247,medium
6.7,45,1,1,1,0,245,medium
5.6,50,0,1,1,1,255,low
8.6,55,0,1,1,1,255,low
7.4,90,1,0,1,1,255,low
6.8,45,0,1,1,1,255,high
6.5,38,1,0,0,0,255,medium
4.7,38,1,0,1,0,255,low
3,40,1,1,1,1,255,low
9,43,1,0,1,1,250,low
6.8,40,1,0,1,0,245,medium
6.6,45,0,1,1,1,250,high
6.5,36,0,0,1,0,255,medium
4.5,38,0,1,1,1,255,low
6.6,45,1,1,1,1,245,high
6.8,35,1,0,1,0,246,medium
6.5,36,0,1,1,0,253,high
8.5,70,0,0,0,0,246,low
6.6,34,0,0,0,1,240,medium
6.5,37,0,0,0,0,245,medium
6.6,37,1,0,1,0,255,high
6.4,45,0,1,0,0,240,medium
6.5,40,0,1,0,1,250,low
6.8,42,1,1,1,1,255,high
6.7,41,1,0,0,0,247,medium
6.7,50,1,1,1,0,245,low
6.8,45,0,1,1,1,255,high
8.6,55,0,1,0,0,255,low
7.4,65,0,0,0,0,255,low
6.8,41,0,0,0,0,255,medium
6.5,38,1,1,1,1,255,high
6.8,38,0,0,0,0,255,medium
3,40,1,0,0,0,255,low
9,43,1,1,1,1,248,low
6.8,40,1,1,1,1,255,high
6.6,45,0,0,0,1,250,medium
6.5,36,0,0,0,0,247,medium
6.6,38,0,0,0,0,255,medium
6.8,45,1,1,1,0,245,high
9.5,34,1,1,0,1,255,low
6.5,37,0,0,0,0,255,medium
6.6,37,1,1,1,1,255,high
5.5,45,1,0,1,1,250,low
4.5,60,0,1,1,1,250,low
8.1,66,1,0,1,1,255,low
6.7,45,1,1,0,0,247,medium
6.7,45,1,1,1,0,245,medium
5.6,50,0,1,1,1,255,low
8.6,55,0,1,1,1,255,low
7.4,90,1,0,1,1,255,low
6.8,45,0,0,1,0,255,medium
6.5,38,1,0,1,0,255,medium
6.7,38,1,0,1,0,255,high
3,40,1,1,1,1,255,low
9,43,1,0,1,1,250,low
8.6,55,0,1,1,1,255,low
6.8,45,0,0,0,1,255,medium
6.8,45,0,1,1,1,255,high
6.5,38,1,0,0,0,255,medium
4.7,38,1,0,1,0,255,low
3,40,1,1,1,1,255,low
9,43,1,0,1,1,250,low
6.8,40,1,0,1,0,245,medium
6.6,45,0,1,1,1,250,high
6.5,36,0,0,1,0,255,medium
4.5,38,0,1,1,1,255,low
6.8,45,1,1,1,1,245,high
6.5,35,1,0,1,0,246,medium
6.8,36,0,1,1,0,253,high
8.5,70,0,0,0,0,246,low
6.8,34,0,0,0,1,240,medium
6.5,37,0,0,0,0,245,medium
6.6,37,1,0,1,0,255,high
6.8,45,0,1,0,0,240,medium
7.4,65,0,0,0,0,255,low
6.8,41,0,0,1,0,255,medium
6.5,38,1,1,1,1,255,high
6.6,38,0,0,0,0,255,medium
3,40,1,0,0,0,255,low
9,43,1,1,1,1,248,low
6.8,40,1,1,1,1,255,high
6.6,50,0,0,0,1,250,low
6.5,36,0,0,0,0,247,medium
6.6,50,0,0,0,0,255,low
6.8,45,1,1,1,0,245,high
9.5,34,1,1,0,1,255,low
6.5,37,0,0,0,0,255,medium
9.5,34,1,1,0,1,255,low
6.5,37,0,0,0,0,255,medium
6.6,37,1,1,1,1,255,high
5.5,45,1,0,1,1,250,low
4.5,60,0,1,1,1,250,low
8.1,66,1,0,1,1,255,low
6.7,45,1,1,0,0,247,medium
6.7,45,1,1,1,0,245,medium
5.6,50,0,1,1,1,255,low
6.6,35,0,1,1,1,255,high
7.4,90,1,0,1,1,255,low
6.8,50,0,0,1,0,255,low
6.5,38,1,0,1,0,255,medium
6.7,38,1,0,1,0,255,high
3,40,1,1,1,1,255,low
6.6,43,1,0,1,1,250,high
8.6,55,0,1,1,1,255,low
6.8,45,0,0,0,1,255,medium
6.8,45,0,1,1,1,255,high
6.5,38,1,0,0,0,255,medium
6.6,38,1,0,1,0,255,high
3,40,1,1,1,1,255,low
9,43,1,0,1,1,250,low
6.8,40,1,0,1,0,245,medium
6.6,45,0,0,0,1,250,medium
6.5,36,0,0,1,0,255,medium
6.6,38,0,0,1,0,255,medium
6.8,45,1,1,1,1,245,high
6.5,55,1,0,1,0,246,low
6.8,36,0,1,1,0,253,high
8.5,70,0,0,0,0,246,low
6.8,40,1,0,1,0,245,medium
6.6,45,0,1,1,1,250,high
6.5,36,0,0,1,0,255,medium
4.5,38,0,1,1,1,255,low
6.8,45,1,1,1,1,245,high
6.5,35,1,0,1,0,246,medium
6.8,36,0,1,1,0,253,high
8.5,70,0,0,0,0,246,low
6.8,34,0,0,0,1,240,medium
6.5,37,0,0,0,0,245,medium
6.6,37,1,0,1,0,255,high
6.8,45,0,1,0,0,240,medium
7.4,65,0,0,0,0,255,low
6.8,41,0,0,1,0,255,medium
6.5,38,1,1,1,1,255,high
6.6,38,0,0,0,0,255,medium
3,40,1,0,0,0,255,low
9,43,1,1,1,1,248,low
6.8,40,1,1,1,1,255,high
6.6,50,0,0,0,1,250,low
6.5,36,0,0,0,0,247,medium
6.6,50,0,0,0,0,255,low
6.8,45,1,1,1,0,245,high
9.5,34,1,1,0,1,255,low
6.5,37,0,0,0,0,255,medium
9.5,34,1,1,0,1,255,low
6.5,37,0,0,0,0,255,medium
6.6,37,1,1,1,1,255,high
5.5,45,1,0,1,1,250,low
4.5,60,0,1,1,1,250,low
8.1,66,1,0,1,1,255,low
6.7,45,1,1,0,0,247,medium
6.7,45,1,1,1,0,245,medium
5.6,50,0,1,1,1,255,low
6.6,35,0,1,1,1,255,high
7.4,90,1,0,1,1,255,low
6.8,50,0,0,1,0,255,low
6.5,38,1,0,1,0,255,medium
6.7,41,1,0,0,0,247,medium
6.7,50,1,1,1,0,245,low
6.8,45,0,1,1,1,255,high
8.6,55,0,1,0,0,255,low
7.4,65,0,0,0,0,255,low
6.8,41,0,0,0,0,255,medium
6.5,38,1,1,1,1,255,high
6.8,38,0,0,0,0,255,medium
3,40,1,0,0,0,255,low
9,43,1,1,1,1,248,low
6.8,40,1,1,1,1,255,high
6.6,45,0,0,0,1,250,medium
6.5,36,0,0,0,0,247,medium
6.6,38,0,0,0,0,255,medium
6.8,45,1,1,1,0,245,high
9.5,34,1,1,0,1,255,low
6.5,37,0,0,0,0,255,medium
6.6,37,1,1,1,1,255,high
5.5,45,1,0,1,1,250,low
4.5,60,0,1,1,1,250,low
8.1,66,1,0,1,1,255,low
6.7,45,1,1,0,0,247,medium
6.7,45,1,1,1,0,245,medium
5.6,50,0,1,1,1,255,low
8.6,55,0,1,1,1,255,low
7.4,90,1,0,1,1,255,low
6.8,45,0,0,1,0,255,medium
6.5,38,1,0,1,0,255,medium
6.7,38,1,0,1,0,255,high
3,40,1,1,1,1,255,low
9,43,1,0,1,1,250,low
8.6,55,0,1,1,1,255,low
6.8,45,0,0,0,1,255,medium
6.8,45,0,1,1,1,255,high
6.5,38,1,0,0,0,255,medium
4.7,38,1,0,1,0,255,low
3,40,1,1,1,1,255,low
9,43,1,0,1,1,250,low
6.8,40,1,0,1,0,245,medium
6.5,37,0,0,0,0,255,medium
6.6,37,1,1,1,1,255,high
5.5,45,1,0,1,1,250,low
4.5,60,0,1,1,1,250,low
